"organism" "group" "size" "GC" "habitat" "temp.group" "temperature"
"704" "Xanthomonas campestris pv. vesicatoria str. 85-10" "Gammaproteobacteria" 5.42 64.6 "Host-associated" "Mesophilic" 27.5
"705" "Xanthomonas oryzae pv. oryzae KACC10331" "Gammaproteobacteria" 4.9 63.7 "Host-associated" "Mesophilic" NA
"706" "Xanthomonas oryzae pv. oryzae MAFF 311018" "Gammaproteobacteria" 4.9 63.7 "Host-associated" "Mesophilic" NA
"707" "Xanthomonas oryzae pv. oryzae PXO99A" "Gammaproteobacteria" 5.2 63.6 "Host-associated" "Mesophilic" NA
"708" "Xylella fastidiosa 9a5c" "Gammaproteobacteria" 2.73 52.6 "Host-associated" "Mesophilic" 27
"709" "Xylella fastidiosa M12" "Gammaproteobacteria" 2.5 51.9 "Host-associated" "Mesophilic" NA
"710" "Xylella fastidiosa M23" "Gammaproteobacteria" 2.54 51.7 "Host-associated" "Mesophilic" NA
"711" "Xylella fastidiosa Temecula1" "Gammaproteobacteria" 2.52 51.8 "Host-associated" "Mesophilic" 27
"712" "Yersinia enterocolitica subsp. enterocolitica 8081" "Gammaproteobacteria" 4.67 47.2 "Multiple" "Mesophilic" 29
"713" "Yersinia pestis Angola" "Gammaproteobacteria" 4.68 47.6 "Multiple" "Mesophilic" NA
"714" "Yersinia pestis Antiqua" "Gammaproteobacteria" 4.88 47.7 "Multiple" "Mesophilic" NA
"715" "Yersinia pestis biovar Microtus str. 91001" "Gammaproteobacteria" 4.81 47.7 "Multiple" "Mesophilic" 29
"716" "Yersinia pestis CO92" "Gammaproteobacteria" 4.88 47.6 "Multiple" "Mesophilic" 29
"717" "Yersinia pestis KIM" "Gammaproteobacteria" 4.7 47.7 "Multiple" "Mesophilic" 29
"718" "Yersinia pestis Nepal516" "Gammaproteobacteria" 4.61 47.6 "Multiple" "Mesophilic" NA
"719" "Yersinia pestis Pestoides F" "Gammaproteobacteria" 4.71 47.7 "Multiple" "Mesophilic" NA
"720" "Yersinia pseudotuberculosis IP 31758" "Gammaproteobacteria" 4.91 47.2 "Multiple" "Mesophilic" NA
"721" "Yersinia pseudotuberculosis IP 32953" "Gammaproteobacteria" 4.8 47.6 "Multiple" "Mesophilic" 29
"722" "Yersinia pseudotuberculosis PB1/+" "Gammaproteobacteria" 4.77 47.5 "Multiple" "Mesophilic" NA
"723" "Yersinia pseudotuberculosis YPIII" "Gammaproteobacteria" 4.7 47.5 "Multiple" "Mesophilic" NA
"724" "Zymomonas mobilis subsp. mobilis ZM4" "Alphaproteobacteria" 2.06 46.3 "Multiple" "Mesophilic" 27.5
